id,title,salary_from,salary_to,currency,town,experience,info,firm_name,url,platform
37,DevOps инженер,,,,Москва,От 3 до 6 лет,"Требования: ...инструментов мониторинга (Prometheus, Grafana). Понимание принципов работы микросервисных платформ и их компонентов. Опыт работы с высоконагруженными микросервисами. Знание Python/GoLang. Ответственность: Создание пайплайнов CI/CD, поддержка текущих. Взаимодействие с командами разработки и тестирования. Администрирование кластеров Kubernetes различных сред разработки (dev, test).",Клауд Солюшенс,https://hh.ru/vacancy/82167418,HeadHunter
38,Senior Game designer,,,,Москва,От 3 до 6 лет,"Требования: Базовые знания в программировании на любом языке: JS, C#, Python или любые другие. Технические знания о структурах данных.  Ответственность: ...решений по улучшению игровых механизмов. Взаимодействовать и коммуницировать с командой (QA, Marketing, Analytics, DEV) и отстаивать технические аспекты работы проекта.",Meowpunk,https://hh.ru/vacancy/84510972,HeadHunter
39,SRE Engineer,,,,Москва,От 3 до 6 лет,"Требования: Опыт работы в роли инженера Dev/DevOps/SRE от 3-х лет. Опыт работы с высоконагруженными системами в production от... Ответственность: Обеспечивать заданный уровень SLA для сервисов компании. Разработка и контроль метрик производительности, надежности. Работа в составе продуктовых команд/стримов. ",Звук,https://hh.ru/vacancy/82235091,HeadHunter
40,Инженер по тестированию web,,,,Москва,От 1 года до 3 лет,Требования: Умеешь работать в команде. Имеешь опыт в тестировании и понимаешь процессы dev и qa. Умеешь четко выражать свои мысли и... Ответственность: ...подсвечивать проблемы на ретроспективах. Менторить новых сотрудников. Настраивать тестовую среду. Взаимодействовать с командой автоматизации. Будет возможность писать автотесты на python.,Иви,https://hh.ru/vacancy/81692165,HeadHunter
41,DevOps инженер (г. Москва),140000,,rub,Москва,От 1 года до 3 лет,"Требования: Опыт установки Kubernetes The Hard Way. Базовые знания Golang, Python, Bash-скрипты. Практический опыт написания CI/CD пайплайнов.  Ответственность: Разворачивание и сопровождение инфраструктуры. Автоматизация ручных задач. Подготовка стендов (dev, test, release). Осуществлять миграцию сервисов в Kubernetes. Участие во внедрении...",Альта Текнолоджи,https://hh.ru/vacancy/85262260,HeadHunter
42,Администратор Dev-стендов (команда виртуального ассистента),,,,Москва,От 3 до 6 лет,"Требования: Python/Java. Jenkins/GitlabCI. Ansible. Bash. Linux. Docker, Docker-compose, Kubernetes/OpenShift. Опыт работы с Linux. Опыт работы с системами... Ответственность: Создание и поддержка существующих CI/CD/CT. Настройка мониторингов. Администрирование инфраструктуры (Kafka, Jenkins, MLFLow, DVC или аналогичные). Администрирование пользовательских сервисов...",СБЕР,https://hh.ru/vacancy/83405120,HeadHunter
43,DevOps инженер (удаленно),,,,Москва,От 3 до 6 лет,"Требования: ...разработки скриптов (python/bash/perl и др.) для автоматизации широкого спектра задач. Понимание чужого кода, возможность внесения исправлений (Python/JS).  Ответственность: Установка, подключение, запуск и настройка оборудования для задач проекта. Развертывание, мониторинг и отладка dev/stage/prod сред. Администрирование *nix платформ...",СберМедИИ,https://hh.ru/vacancy/85623056,HeadHunter
44,Разработчик MS SSIS \ SQL,,,,Москва,От 3 до 6 лет,"Требования: Имеет высшее техническое образование. Имеет опыт работы по специальности от 3 лет (направление: разработчик). Обладает знаниями и опытом разработки ETL... Ответственность: Поддерживать текущие интеграционные потоки. Разрабатывать новые интеграционные потоки. Поддерживать и оптимизировать текущее хранилище данных. Развивать текущее ХД (создание схем, таблиц...",Почтатех,https://hh.ru/vacancy/85739600,HeadHunter
45,Dev Team lead - Tivery,,,,Москва,От 3 до 6 лет,"Требования: Middle+/Senior backend разработчик. Опыт управления командой от 3х человек. Желание развиваться в сторону технического лидера и СТО.  Ответственность: БД для текстовых данных: Elasticsearch. БД пользователей: PosgreSQL. Модуль парсинга данных: Python. Backend: Python или PHP Laravel, или NodeJS. ",Tivery,https://hh.ru/vacancy/84597745,HeadHunter
46,QA Automation\DevOps (удаленно),,,,Москва,От 1 года до 3 лет,"Требования: Знание скриптовых языков программирования – Bash, Ruby, Python и т.п. Опыт администрирования серверных ОС Linux - CentOS и\или Ubuntu. Ответственность: Непрерывное улучшение DevOps культуры в компании. Сопровождение инфраструктуры. Сопровождение процессов CI/CD. Сопровождение кластера Kubernetes. Сопровождение dev стендов. ",ЛАНИТ,https://hh.ru/vacancy/83306823,HeadHunter
47,SRE инженер,,,,Москва,От 3 до 6 лет,"Требования: Навыки администрирования приложений на Red Hat OpenShift. Опыт автоматизации: написание скриптов на Jython/Python, Вash, PowerShell, навыки работы с Jenkins.  Ответственность: Администрирование, внедрение и сопровождение АС в масштабах банка в соответствии с показателями качества, зафиксированными в SLA/TLA/OLA. ",СБЕР,https://hh.ru/vacancy/76546805,HeadHunter
48,Middle+ QA Load testing engineer (ГосТех),,,,Москва,От 3 до 6 лет,"Требования: Опыт тестирования UI (playwright, selenium). Опыт тестирования backend / frontend (swagger, postman, chrome dev tools) от 2 лет. Опыт настройки и... Ответственность: Разрабатывать и отлаживать скрипты по нагрузочному тестированию. Моделирование нагрузки для нагрузочных тестов. Анализ результатов тестирования. Ссоздание отчетов по результатам тестирования.",Cloud.ru,https://hh.ru/vacancy/85055844,HeadHunter
49,Инженер DevOps (направление продукта VK Compliance),,,,Москва,От 3 до 6 лет,"Требования: ...работы с Postgresql, Minio, Keycloak, Redis, Kafka, ClickHouse. Опыт работы с Prometheus + Grafana, ELK-стеком. Опыт скриптинга (Bash, Python). Ответственность: Observability: ELK, Grafana/Prometheus, агенты мониторинга и сбора логов. Подготовка и сопровождение системных ландшафтов dev/qa/uat/prod (в VK...",VK,https://hh.ru/vacancy/84689271,HeadHunter
50,Разработчик 1С (Middle/Senior),,,,Москва,От 3 до 6 лет,Требования: Имеет опыт разработки на управляемых приложениях в 1С от 3-х лет. Имеет опыт доработки нагруженных систем и опыт... Ответственность: Разрабатывать новую функциональность в конфигурациях 1С. Оптимизировать и поддерживать существующую функциональность в условиях большой кодовой базы. Тестировать выполненные разработки. ,Почтатех,https://hh.ru/vacancy/86093139,HeadHunter
51,Андроид Flutter / Kotlin / Java Pазработчик,130000,150000,rub,Москва,От 1 года до 3 лет,"Требования: Опыт работы с одним из фреймворков: Kotlin, Java, Flutter,Unity. Опыт работы с библиотеками популярных фреймворков, а так же сторонних... Ответственность: Проектирование и разработка новых мобильных приложений. Коммуникация с командой, принятие решений связанных с планированием разработки и процесса разработки приложений. ",Digital tools,https://hh.ru/vacancy/84859003,HeadHunter
52,DevOps инженер / SRE,,,,Москва,От 1 года до 3 лет,"Требования: Опыт системного администрирования Linux ( Debian / Ubuntu ). Опыт создания и поддержки dev, stage и prod окружений. Опыт написания пайплайнов CI/CD... Ответственность: Обеспечение безопасности, отказоустойчивости и оптимизация работы веб-приложений компании. Развертывание и поддержка dev, stage и prod окружений для отдела разработки.",ФТК Менеджмент,https://hh.ru/vacancy/85660308,HeadHunter
53,Системный администратор Windows,,,,Москва,От 3 до 6 лет,"Требования: Высокий уровень автоматизации рутинных процессов при помощи написания скриптов powershell, bash, python (будет огромным плюсом). Навыки взаимодействия с командами разработки.  Ответственность: Работать с colocation\hosting test, dev, pre-prod, prod серверами. Управлять правами доступа пользователей в различных системах (от ОС до...",Manzana Group,https://hh.ru/vacancy/84545784,HeadHunter
54,Администратор тестовых сред/DevOps (OpenShift),,,,Москва,От 1 года до 3 лет,"Требования: Навык работы хотя бы с одним скриптовым языком (Python, TCL, Bash, Perl, Ruby, JavaScript, Ansible). Английский язык – на уровне чтения... Ответственность: Развитие DevOps. Сопровождение DEV и QA сред. Траблшутинг DEV и QA сред. Работа с Cloud Native решениями. Внедрение нового технологического...",СБЕР,https://hh.ru/vacancy/85660797,HeadHunter
